Alpha,Beta,Rho,Q,Reward
2.5,2.5,0.8500000000000001,1,0.8289877387191152
0.4,3,0.1,50,0.8413468922259703
2.2,2.4000000000000004,0.55,50,0.8259882116409071
0.4,2.9000000000000004,0.4,20,0.8288414341115058
0.7000000000000001,2.3000000000000003,0.6000000000000001,200,0.8424699091792112
